@relation Issues

@attribute Title string
@attribute Body string
@attribute Label {bug,enhancement}

@data
'atom works closing window file','read atom code conduct filing issue expected comply including treating respect https github atom github blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description description issue git config core editor set atom wait note set config atom wait safe issue appeared upgraded version closed issue related steps reproduce open folder atom edit files run git commit folder opened atom commit file opened tab window write message save note git rebase git operations require input editor expected behavior expect happen closing file tab commit finalize actual behavior close window commit finalize reproduces percentage time reproduce time versions information copy pasting output atom version apm version command line include os version os running atom electron chrome node git version windows windows enterprise 64bit additional information additional information configuration data reproduce issue demo atom wait issue https user images githubusercontent 1fd41f80 ca84 11e9 99ae b66a191ca56d gif',bug
'prompts restart aren','read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description core prompt restart changed atom prompt restart time starts steps reproduce core list https github atom atom blob b79d9088e21970f0dd1d05ed0e2a27765d4b6dd4 src main process atom application js l283 l285 core core colorprofile core filesystemwatcher restart atom expected behavior expect happen prompt restart atom launch actual behavior prompts restart atom launch times restart reproduces percentage time reproduce time versions os windows x64 atom nightly2 electron chrome node apm npm node x64 atom nightly2 python git windows visual studio additional information',bug
'atom nightly1 fails open','description latest atom nightly build nightly1 atom fails open steps reproduce attempt launch atom command line atom nightly safe foreground expected behavior atom opens errors actual behavior command line shows errors atom window shown atom nightly compositedisposable dispose method atom nightly typeerror compositedisposable dispose method assertdisposable applications atom nightly app contents resources app asar node modules event kit dist composite disposable js compositedisposable applications atom nightly app contents resources app asar node modules event kit dist composite disposable js atomapplication launch applications atom nightly app contents resources app asar src main process atom application js anonymous null null reproduces versions macos atom nightly version atom nightly1 electron chrome node',bug
'wsl atom root automount','read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description mount running atom wsl won load atom findmnt source target source fstype drvfs rw noatime uid gid umask fmask metadata case atom system path atom sh doesn atomcmd https github atom atom blob c5ebfbddd096a24bb99b832432a5dfcd67da4714 resources win atom sh l8 l15 https github atom atom issues happening ubuntu wsl windows atom steps reproduce windows enable wsl install atom install ubuntu ubuntu wsl wsl mount automount exit ubuntu run ubuntu run atom atom expected behavior atom open actual behavior atom system path reproduces versions information copy pasting output atom version apm version command line include os version os running windows ubuntu systeminfo exe os version os microsoft windows pro os version build version os release version lts bionic beaver uname microsoft gnu linux atom users solvaholic atom version atom electron chrome node users solvaholic apm version apm npm node x64 atom python git windows visual studio additional information issue opening atom built fresh install ubuntu app aliases windows wsl windows path linux path running atom linux run localappdata atom bin atom windows user home directory script calls atom version atom sh cat atom bin sh dirname app resources atom sh issues related running atom linux wsl path availability translation issue',bug
'opens duplicate windows open','description launch atom command line multiple times directory atom window time steps reproduce open directory atom atom path directory open directory atom time atom path directory expected behavior atom window open showing files directory actual behavior atom windows open showing files directory reproduces versions macos atom nightly version atom nightly15 electron chrome node apm nightly version apm npm node x64 atom nightly15 python git additional information atom open window atom git commit editor result lose introduced atom https atom io atom responsiveness atom git commit editor',bug
'scrollbars disappear macos','read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description scrollbars disappear scrolling stopped steps reproduce macos show scroll bars set scrolling open atom resize window scrollbar appears expected behavior scrollbar disappears scrolling actual behavior scrollbar stays visible reproduces editor tree view fine scrollbar https user images githubusercontent ebf8ca00 11e9 d89331536821 gif versions information copy pasting output atom version apm version command line include os version os running macos mojave 18c54 atom dev 41a180b9d electron chrome node apm npm node x64 atom dev 41a180b9d python git additional information devtools electron chromium related scrollbar devtools https user images githubusercontent 67f31200 11e9 836e 02678a1be57d gif',bug
'atom missing','release suddenly missing event kit textbuffer compositedisposable https atom io v1 compositedisposable https atom io v1 compositedisposable error disposable https atom io v1 disposable https atom io v1 disposable error emitter https atom io v1 emitter https atom io v1 emitter error textbuffer https atom io v1 textbuffer https atom io v1 textbuffer error recent conversion javascript culprit',bug
abbreviations,'moritzkn january great ordering influenced abbreviations abbreviation abbreviations abbreviations rated preempt',enhancement
'uncaught typeerror read property length undefined','priyankvex jan enter steps reproduce atom version system linux generic thrown line https github atom line package v0 stack trace uncaught typeerror read property length undefined usr share atom resources app node modules text buffer lib text buffer js typeerror read property length undefined textbuffer module exports textbuffer linelengthforrow usr share atom resources app node modules text buffer lib text buffer js textbuffer module exports textbuffer clipposition usr share atom resources app node modules text buffer lib text buffer js displaybuffer module exports displaybuffer screenpositionforbufferposition usr share atom resources app src display buffer js displaybuffer module exports displaybuffer scrolltobufferposition usr share atom resources app src display buffer js texteditor module exports texteditor scrolltobufferposition usr share atom resources app src text editor js gotolineview module exports gotolineview confirm usr share atom resources app node modules line lib line view js atom text editor anonymous usr share atom resources app node modules line lib line view js commandregistry module exports commandregistry handlecommandevent usr share atom resources app src command registry js usr share atom resources app src command registry js keymapmanager module exports keymapmanager dispatchcommandevent usr share atom resources app node modules atom keymap lib keymap manager js keymapmanager module exports keymapmanager handlekeyboardevent usr share atom resources app node modules atom keymap lib keymap manager js htmldocument module exports windoweventhandler onkeydown usr share atom resources app src window event handler js commands core cancel atom text editor editor mini application file atom pane pane active minimap line toggle atom text editor editor focused core paste atom text editor editor mini core confirm atom text editor editor mini config json core installed packages coffee user minimap v3 dev dev packages cc atom core issue moved https github atom line https github atom line issues',bug
'till presses','ankithherle shifting sublime goto goto types sublime goto goto goto',enhancement
'customize presence absence final eol','mcandre feature final eol terminator benefit final eol terminator final eol absent concatenated makefile final eol terminator safeguard surprises manage eol eol absent eol feature terminator jasonrudolph jasonrudolph',enhancement
'intelligent mimetype','mcandre fairly flexible bat vbs types preferential jasonrudolph jasonrudolph',enhancement
'normalize eol','nodejose depending jsbeautify prettydiff normalize eol feature maintained feature jasonrudolph jasonrudolph',enhancement
'','richyhbm great ability alll jasonrudolph jasonrudolph',enhancement
'wrong title opening issue','mik01aj february deprecation screenshot https cloud githubusercontent assets 838956b4 ae1c 11e4 1f49594f38f5 png click link screenshot https cloud githubusercontent assets af89069c ae1c 11e4 9f79 963e2dcacf8e png issue atom deprecation cop',bug
'','eboracus nice depcop c2983b06 2cb9 f9e957e6f352',enhancement
'','stanzilla rescan',enhancement
important,'dsandstrom override l16',enhancement
'','masseguillaume masseguillaume',enhancement
'work linux duplicate handles','varemenos doesn initialize livereload watcher refresh ui correct issue atom dev reload',bug
'','martinmuzatko coffescript 908b c2116d8f818f b5bf0962 9b9f 1b82be51244f',enhancement
'live reload dev fails files symlinks','p0lm april read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode http flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide http flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description multiple files identical path dev longer works steps reproduce create create file create file open atom developer mode expected behavior reload edit file opened actual behavior reload trace handle returned path watched path path handlewatcher start main js handlewatcher main js pathwatcher main js exports watch main js module exports file subscribetonativechangeevents file js module exports file willaddsubscription file js anonymous function file js module exports file file js module exports textbuffer subscribetofile text buffer js module exports textbuffer setpath text buffer js textbuffer text buffer js module exports buildbuffer coffee module exports bufferforpath coffee opentextfile workspace js openuriinpane workspace js open workspace js module exports treeview openafterpromise tree view coffee module exports treeview fileviewentryclicked tree view coffee module exports treeview entryclicked tree view coffee anonymous function tree view coffee reproduces versions linux mint cinnamon atom mode issue atom dev reload',bug
browser,'',enhancement
make,'collecting printrecenterrors',enhancement
request,'tairun september cool checks',enhancement
'exception error thrown','peterhal parsestacktrace attempts thrown key stacktracecache weakmap weakmap thrown object thrown stack trace error reporting uncaught exception typeerror invalid weak map key weakmap set native parsestacktrace applications atom app contents resources app asar node modules exception reporting lib reporter js shouldreport applications atom app contents resources app asar node modules exception reporting lib reporter js object exports reportuncaughtexception applications atom app contents resources app asar node modules exception reporting lib reporter js applications atom app contents resources app asar node modules exception reporting lib main js function module exports emitter simpledispatch applications atom app contents resources app asar node modules event kit lib emitter js emitter module exports emitter emit applications atom app contents resources app asar node modules event kit lib emitter js applications atom app contents resources app asar src atom environment js issue atom exception reporting',bug
'fails error stacktrace includes javascript','april description exception occurs stacktrace core javascript exception reporting package fails report exception bugsnag stacktrace exception fuzzy finder package stacktrace call array foreach github fuzzy finder lib main js uncaught error foreach users github fuzzy finder lib main js array foreach native object createprojectview users github fuzzy finder lib main js htmlelement fuzzy finder toggle file finder users github fuzzy finder lib main js commandregistry handlecommandevent applications atom app contents resources app src command registry js keymapmanager module exports keymapmanager dispatchcommandevent applications atom app contents resources app node modules atom keymap lib keymap manager js keymapmanager module exports keymapmanager handlekeyboardevent applications atom app contents resources app node modules atom keymap lib keymap manager js windoweventhandler handledocumentkeyevent applications atom app contents resources app src window event handler js exception reporting package attempts paths stacktrace https github atom exception reporting blob 06b51ec2f8db4753c9ffc9ad6360061939ac32d5 lib reporter js l86 package errors encounters array foreach stacktrace reporting exception bugsnag package logs error console error reporting uncaught exception typeerror read property replace null reporter normalizepath github exception reporting lib reporter js reporter scrubpath github exception reporting lib reporter js github exception reporting lib reporter js array map native reporter buildstacktracejson github exception reporting lib reporter js reporter buildexceptionjson github exception reporting lib reporter js reporter buildnotificationjson github exception reporting lib reporter js reporter reportuncaughtexception github exception reporting lib reporter js github atom app node modules exception reporting lib main js function module exports emitter simpledispatch applications atom app contents resources app node modules event kit lib emitter js emitter module exports emitter emit applications atom app contents resources app node modules event kit lib emitter js window onerror applications atom app contents resources app src atom environment js keymapmanager module exports keymapmanager dispatchcommandevent applications atom app contents resources app node modules atom keymap lib keymap manager js keymapmanager module exports keymapmanager handlekeyboardevent applications atom app contents resources app node modules atom keymap lib keymap manager js windoweventhandler handledocumentkeyevent applications atom app contents resources app src window event handler js steps reproduce clone repository package apm link fuzzy finder git clone atom fuzzy finder cd fuzzy finder git checkout v1 apm install apm link fuzzy finder code edit main js trigger error core javascript stacktrace diff lib main js lib main js module exports createprojectview foreach throw error stoploadpathstask projectview null clone atom exception reporting repository apm link package git clone atom exception reporting cd exception reporting git checkout v0 apm install apm link exception reporting code edit lib reporter js local copy fuzzy finder package error reporting diff lib reporter js lib reporter js reporter isbundledfile filename normalizepath filename indexof resourcepath true isteletypefile filename open atom trigger fuzzy finder toggle file finder command error thrown expected behavior error successfully posted bugsnag actual behavior error reported bugsnag reproduces versions exception reporting atom version atom dev 6dd878d electron chrome node cc cii encountered issue pairing today issue atom exception reporting',bug
